OldField,NewField,Shown,Language,Mapping
"Invalid geodetic datum","Invalid geodetic datum",,DBSCHEMA,INTEGER
"Invalid scientific name","Invalid scientific name",,DBSCHEMA,INTEGER
"http://rs.tdwg.org/dwc/terms/kingdom","http://rs.tdwg.org/dwc/terms/kingdom",,DBSCHEMA,TEXT
"Kingdom not recognised","Kingdom not recognised",,DBSCHEMA,INTEGER
LAST_UPDATE_USER_ID,LAST_UPDATE_USER_ID,,DBSCHEMA,TEXT
"Latitude is negated","Latitude is negated",,DBSCHEMA,INTEGER
"Latitude Longitude calculated from grid reference","Latitude Longitude calculated from grid reference",,DBSCHEMA,INTEGER
"Location not supplied","Location not supplied",,DBSCHEMA,INTEGER
"http://rs.tdwg.org/dwc/terms/locationRemarks","http://rs.tdwg.org/dwc/terms/locationRemarks",,DBSCHEMA,TEXT
"Longitude is negated","Longitude is negated",,DBSCHEMA,INTEGER
"http://rs.tdwg.org/dwc/terms/maximumElevationInMeters","http://rs.tdwg.org/dwc/terms/maximumElevationInMeters",,DBSCHEMA,DECIMAL
"media Unrepresentative","media Unrepresentative",,DBSCHEMA,INTEGER
"Min and max altitude reversed","Min and max altitude reversed",,DBSCHEMA,INTEGER
"Min and max depth reversed","Min and max depth reversed",,DBSCHEMA,INTEGER
"http://rs.tdwg.org/dwc/terms/minimumElevationInMeters","http://rs.tdwg.org/dwc/terms/minimumElevationInMeters",,DBSCHEMA,DECIMAL
"Missing an identification qualifier","Missing an identification qualifier",,DBSCHEMA,INTEGER
